nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 8760
Workers: 8 (Recycle every 10 tasks)
[4561/8760] 2025-07-10 00:00 -> AWS: Exists | JAXA: Exists
[4581/8760] 2025-07-10 06:00 -> AWS: Exists | JAXA: Exists
[4601/8760] 2025-07-11 23:00 -> AWS: Exists | JAXA: N/A
[4621/8760] 2025-07-12 19:00 -> AWS: Exists | JAXA: N/A
[4641/8760] 2025-07-13 15:00 -> AWS: Exists | JAXA: N/A
[4661/8760] 2025-07-14 11:00 -> AWS: Exists | JAXA: N/A
[4681/8760] 2025-07-15 00:00 -> AWS: Exists | JAXA: Exists
[4701/8760] 2025-07-15 06:00 -> AWS: Exists | JAXA: Exists
[4721/8760] 2025-07-16 23:00 -> AWS: Exists | JAXA: N/A
[4741/8760] 2025-07-17 19:00 -> AWS: Exists | JAXA: N/A
[4761/8760] 2025-07-18 15:00 -> AWS: Exists | JAXA: N/A
[4781/8760] 2025-07-19 11:00 -> AWS: Exists | JAXA: N/A
[4801/8760] 2025-07-20 00:00 -> AWS: Exists | JAXA: Exists
[4821/8760] 2025-07-20 06:00 -> AWS: Exists | JAXA: Success
[4841/8760] 2025-07-21 23:00 -> AWS: Exists | JAXA: N/A
[4861/8760] 2025-07-22 19:00 -> AWS: Exists | JAXA: N/A
[4881/8760] 2025-07-23 15:00 -> AWS: Exists | JAXA: N/A
[4901/8760] 2025-07-24 11:00 -> AWS: Exists | JAXA: N/A
[4921/8760] 2025-07-25 00:00 -> AWS: Exists | JAXA: Exists
[4941/8760] 2025-07-25 06:00 -> AWS: Exists | JAXA: Exists
[4961/8760] 2025-07-26 23:00 -> AWS: Exists | JAXA: N/A
[4981/8760] 2025-07-27 19:00 -> AWS: Exists | JAXA: N/A
[5001/8760] 2025-07-28 15:00 -> AWS: Exists | JAXA: N/A
[5021/8760] 2025-07-29 11:00 -> AWS: Exists | JAXA: N/A
[5041/8760] 2025-07-30 00:00 -> AWS: Exists | JAXA: Exists
[5061/8760] 2025-07-30 06:00 -> AWS: Exists | JAXA: Exists
[5081/8760] 2025-07-31 23:00 -> AWS: Exists | JAXA: N/A
[5101/8760] 2025-08-01 19:00 -> AWS: Exists | JAXA: N/A
[5121/8760] 2025-08-02 15:00 -> AWS: Exists | JAXA: N/A
[5141/8760] 2025-08-03 11:00 -> AWS: Exists | JAXA: N/A
[5161/8760] 2025-08-04 01:00 -> AWS: Exists | JAXA: Exists
[5181/8760] 2025-08-04 07:00 -> AWS: Exists | JAXA: Exists
[5201/8760] 2025-08-05 23:00 -> AWS: Exists | JAXA: N/A
[5221/8760] 2025-08-06 19:00 -> AWS: Exists | JAXA: N/A
[5241/8760] 2025-08-07 15:00 -> AWS: Exists | JAXA: N/A
[5261/8760] 2025-08-08 11:00 -> AWS: Exists | JAXA: N/A
[5281/8760] 2025-08-09 00:00 -> AWS: Exists | JAXA: Exists
[5301/8760] 2025-08-09 06:00 -> AWS: Exists | JAXA: Exists
[5321/8760] 2025-08-10 23:00 -> AWS: Exists | JAXA: N/A
[5341/8760] 2025-08-11 19:00 -> AWS: Exists | JAXA: N/A
[5361/8760] 2025-08-12 15:00 -> AWS: Exists | JAXA: N/A
[5381/8760] 2025-08-13 11:00 -> AWS: Exists | JAXA: N/A
[5401/8760] 2025-08-14 00:00 -> AWS: Exists | JAXA: Exists
[5421/8760] 2025-08-14 06:00 -> AWS: Exists | JAXA: Exists
[5441/8760] 2025-08-15 23:00 -> AWS: Exists | JAXA: N/A
[5461/8760] 2025-08-16 19:00 -> AWS: Exists | JAXA: N/A
[5481/8760] 2025-08-17 15:00 -> AWS: Exists | JAXA: N/A
[5501/8760] 2025-08-18 11:00 -> AWS: Exists | JAXA: N/A
[5521/8760] 2025-08-19 00:00 -> AWS: Exists | JAXA: Exists
[5541/8760] 2025-08-19 06:00 -> AWS: Exists | JAXA: Exists
[5561/8760] 2025-08-20 23:00 -> AWS: Exists | JAXA: N/A
[5581/8760] 2025-08-21 19:00 -> AWS: Exists | JAXA: N/A
[5601/8760] 2025-08-22 15:00 -> AWS: Exists | JAXA: N/A
[5621/8760] 2025-08-23 11:00 -> AWS: Exists | JAXA: N/A
[5641/8760] 2025-08-24 00:00 -> AWS: Exists | JAXA: Exists
[5661/8760] 2025-08-24 06:00 -> AWS: Exists | JAXA: Exists
[5681/8760] 2025-08-25 23:00 -> AWS: Exists | JAXA: N/A
[5701/8760] 2025-08-26 19:00 -> AWS: Exists | JAXA: N/A
[5721/8760] 2025-08-27 15:00 -> AWS: Exists | JAXA: N/A
[5741/8760] 2025-08-28 11:00 -> AWS: Exists | JAXA: N/A
[5761/8760] 2025-08-29 02:00 -> AWS: Exists | JAXA: Exists
[5781/8760] 2025-08-29 08:00 -> AWS: Exists | JAXA: Exists
[5801/8760] 2025-08-30 23:00 -> AWS: Exists | JAXA: N/A
[5821/8760] 2025-08-31 19:00 -> AWS: Exists | JAXA: N/A
[5841/8760] 2025-09-01 15:00 -> AWS: Exists | JAXA: N/A
[5861/8760] 2025-09-02 11:00 -> AWS: Exists | JAXA: N/A
[5881/8760] 2025-09-03 00:00 -> AWS: Exists | JAXA: Exists
