nohup: ignoring input
--- OMEGA DOWNLOADER (V10) ---
Tasks: 43848
Workers: 12 (Recycle every 10 tasks)
[6601/43848] 2020-10-02 11:00 -> AWS: Exists | JAXA: N/A
[6621/43848] 2020-10-02 07:00 -> AWS: Exists | JAXA: Exists
[6641/43848] 2020-10-03 03:00 -> AWS: Exists | JAXA: Exists
[6661/43848] 2020-10-04 23:00 -> AWS: Exists | JAXA: N/A
[6681/43848] 2020-10-05 19:00 -> AWS: Exists | JAXA: N/A
[6701/43848] 2020-10-06 15:00 -> AWS: Exists | JAXA: N/A
[6721/43848] 2020-10-07 11:00 -> AWS: Exists | JAXA: N/A
[6741/43848] 2020-10-07 07:00 -> AWS: Exists | JAXA: Exists
[6761/43848] 2020-10-08 04:00 -> AWS: Exists | JAXA: Exists
[6781/43848] 2020-10-09 23:00 -> AWS: Exists | JAXA: N/A
[6801/43848] 2020-10-10 19:00 -> AWS: Exists | JAXA: N/A
[6821/43848] 2020-10-11 15:00 -> AWS: Exists | JAXA: N/A
[6841/43848] 2020-10-12 11:00 -> AWS: Exists | JAXA: N/A
[6861/43848] 2020-10-12 07:00 -> AWS: Exists | JAXA: Exists
[6881/43848] 2020-10-09 05:00 -> AWS: Missing | JAXA: Exists
[6901/43848] 2020-10-14 23:00 -> AWS: Exists | JAXA: N/A
[6921/43848] 2020-10-15 18:00 -> AWS: Exists | JAXA: N/A
[6941/43848] 2020-10-16 15:00 -> AWS: Exists | JAXA: N/A
[6961/43848] 2020-10-17 11:00 -> AWS: Exists | JAXA: N/A
[6981/43848] 2020-10-17 07:00 -> AWS: Exists | JAXA: Exists
[7001/43848] 2020-10-18 03:00 -> AWS: Exists | JAXA: Exists
[7021/43848] 2020-10-19 23:00 -> AWS: Exists | JAXA: N/A
[7041/43848] 2020-10-20 19:00 -> AWS: Exists | JAXA: N/A
[7061/43848] 2020-10-21 15:00 -> AWS: Exists | JAXA: N/A
[7081/43848] 2020-10-22 11:00 -> AWS: Exists | JAXA: N/A
[7101/43848] 2020-10-22 08:00 -> AWS: Exists | JAXA: Exists
[7121/43848] 2020-10-23 04:00 -> AWS: Exists | JAXA: Exists
[7141/43848] 2020-10-24 23:00 -> AWS: Exists | JAXA: N/A
[7161/43848] 2020-10-25 19:00 -> AWS: Exists | JAXA: N/A
[7181/43848] 2020-10-26 15:00 -> AWS: Exists | JAXA: N/A
[7201/43848] 2020-10-27 11:00 -> AWS: Exists | JAXA: N/A
